0.18	0.79
0.4	1.5
0.39	1.43
0.36	1.53
0.44	1.55
0.45	1.47
0.44	1.41
0.36	1.47
0.44	1.36
0.33	1.86
0.46	1.55
0.41	1.49
0.4	1.55
0.33	1.44
0.15	0.6
0.42	1.59
0.41	1.52
0.45	1.39
0.34	1.56
0.45	1.59
0.43	1.61
0.42	1.56
0.41	1.48
0.38	1.53
0.46	1.47
0.49	1.47
0.44	1.54
0.38	1.49
0.46	1.44
0.45	1.51
0.38	1.7
0.44	1.44
0.41	1.5
0.44	1.36
0.38	1.39
0.38	1.9
0.39	2.53
0.35	2.05
0.18	0.77
0.14	0.71
0.29	1.75
0.15	0.42
0.27	0.93
0.46	1.51
0.49	1.42
0.42	1.57
0.38	1.53
0.33	1.57
0.33	1.35
0.26	1.12
0.21	0.71
0.18	0.7
0.35	1.41
0.45	1.56
0.45	1.31
0.4	1.47
0.36	1.48
0.41	1.44
0.38	1.48
0.43	1.39
0.28	0.91
